"","X.idx.","X.humidity.","X.pressure.","X.temp.","X.dominant.","X.pm10.","X.pm2.5.","X.co.","X.no2.","X.o3.","X.so2.","X.t.local.","X.t.zone.","X.t.univ.","X.t.iso."
"1","idx","humidity","pressure","temp","dominant","pm10","pm2-5","co","no2","o3","so2","t-local","t-zone","t-univ","t-iso"
"2","3158","71","1014","13","o3","6","12",NA,"3.5","18.7",NA,"2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"3","3159","73.5","1013.6","14","o3","4","11","0.2","0.3","23.5","2.6","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"4","3160","76","1015","13","pm25","27","36","0.5","17.1","7.7","0.9","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"5","3161","77","1015.2","16.6","o3","8","21",NA,"2.8","23.6",NA,"2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"6","3162","93","992","10","","16","27",NA,NA,NA,NA,"2016-10-11 18:00:00","+00:00","1476208800","2016-10-11T18:00:00Z"
"7","3164","72","1015","16","pm25","10","23",NA,"4.6","17.6","1","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"8","3166","56.2","1023.8","18.6","pm25","14","39","6.8","31.3","4.5","2.3","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"9","3167","85.2","1014.5","16.4","pm25","13","21","0.7","6","13.5","1.6","2021-08-02 10:00:00","+01:00","1627898400","2021-08-02T10:00:00+01:00"
"10","3168","58","1018","13","pm25","15","46",NA,"17.9","30",NA,"2021-06-21 11:00:00","+01:00","1624273200","2021-06-21T11:00:00+01:00"
"11","3169","61","1013.4","18.3","o3","15","5",NA,"4.3","17.1","1.1","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"12","3170","88.5","1015","15.8","pm25","15","30","0.7","11.5","22","1.6","2021-08-02 10:00:00","+01:00","1627898400","2021-08-02T10:00:00+01:00"
"13","3172","69.5","1014.5","18.3","o3","9","17",NA,"5.6","18.9","1.7","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"14","3175","82","1005.7","16.6","pm25","12","25",NA,"1","19","1.4","2021-07-30 13:00:00","+01:00","1627650000","2021-07-30T13:00:00+01:00"
"15","3176","67.7","1014.9","14.1","o3","6","13","0.2","3.3","18.8","2.5","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"16","3177","81.2","1019.9","11.8","pm25","8","17",NA,"16.9","8.2","3.7","2021-08-02 07:00:00","+01:00","1627887600","2021-08-02T07:00:00+01:00"
"17","3178","70.7","1013.7","16","o3","6","9","0.2","3.6","14","4","2021-08-02 08:00:00","+01:00","1627891200","2021-08-02T08:00:00+01:00"
"18","3179","62.7","1015.7","18","","10","21","7.3","11","6","1.5","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"19","3181","49.6","1014","18.7","o3","9","17",NA,"6.4","22","1.6","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"20","3182","60.1","1015.1","19.3","o3","8","17",NA,"1.9","20.5",NA,"2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"21","3183","59.7","1015.1","19.3","o3","8","17",NA,"4.8","20.5",NA,"2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"22","3184","16.5","1246.3","18.3","pm25","12","26","1.9","19.9","10.2","1.6","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"23","3185","16.5","1246.3","18.3","pm25","24","38","1.9","17","10.2","1.6","2021-08-02 09:00:00","+01:00","1627894800","2021-08-02T09:00:00+01:00"
"24","3187","82","1019","18","pm25","11","72",NA,"18.3","13","1","2020-09-15 08:00:00","+01:00","1600156800","2020-09-15T08:00:00+01:00"
